step,value,wall_time
387176,2.3213703632354736,1788540651.4276752
387177,2.287200450897217,1788540651.5901425
387178,2.304178237915039,1788540651.753436
387179,2.241870880126953,1788540651.9169116
387180,2.2558019161224365,1788540652.0785308
387181,2.314743995666504,1788540652.2442799
387182,2.341094732284546,1788540652.4079733
387183,2.260606288909912,1788540652.5731854
387184,2.362804412841797,1788540652.7399404
387185,2.286252737045288,1788540652.9040675
387186,2.2797470092773438,1788540653.0686226
387187,2.257133960723877,1788540653.2321224
387188,2.2774596214294434,1788540653.3962927
387189,2.376657009124756,1788540653.5597355
387190,2.244112730026245,1788540653.721157
387191,2.28812575340271,1788540653.8845253
387192,2.2547876834869385,1788540654.0473907
387193,2.29105281829834,1788540654.2094607
387194,2.2339255809783936,1788540654.372036
387195,2.270902395248413,1788540654.5351498
387196,2.340503454208374,1788540654.6984286
387197,2.2912652492523193,1788540654.8610518
387198,2.330538749694824,1788540655.0229285
387199,2.2818286418914795,1788540655.1852496
387200,2.3355836868286133,1788540655.3481147
387201,2.291213035583496,1788540656.9291217
387202,2.2194130420684814,1788540657.094022
387203,2.2866718769073486,1788540657.2581537
387204,2.317502498626709,1788540657.4212613
387205,2.329274892807007,1788540657.583423
387206,2.2554945945739746,1788540657.7467225
387207,2.314988136291504,1788540657.9099498
387208,2.2296860218048096,1788540658.0717657
387209,2.270164728164673,1788540658.2289028
387210,2.2630579471588135,1788540658.3931758
387211,2.257206678390503,1788540658.5575044
387212,2.209167718887329,1788540658.7222872
387213,2.2244350910186768,1788540658.886153
387214,2.287179470062256,1788540659.0421996
387215,2.2501373291015625,1788540659.2081041
387216,2.3325729370117188,1788540659.3737972
387217,2.347991466522217,1788540659.5377383
387218,2.274984836578369,1788540659.701356
387219,2.353431463241577,1788540659.8654318
387220,2.274770975112915,1788540660.0281165
387221,2.305952548980713,1788540660.1908329
387222,2.284907817840576,1788540660.3538468
387223,2.290194034576416,1788540660.5161104
387224,2.2404375076293945,1788540660.6807241
387225,2.2877235412597656,1788540660.843664
387226,2.2795462608337402,1788540661.0089102
387227,2.3684444427490234,1788540661.174069
387228,2.321155071258545,1788540661.3394954
387229,2.2592923641204834,1788540661.5079615
387230,2.3113229274749756,1788540661.672465
387231,2.2671356201171875,1788540661.839061
387232,2.289314031600952,1788540662.0033908
387233,2.27704119682312,1788540662.1677096
387234,2.250333070755005,1788540662.3312922
387235,2.2688543796539307,1788540662.4958072
387236,2.318312883377075,1788540662.6686509
387237,2.264244556427002,1788540662.835151
387238,2.288146734237671,1788540662.9998858
387239,2.3622841835021973,1788540663.1645033
387240,2.319265365600586,1788540663.3283813
387241,2.2481558322906494,1788540663.494417
387242,2.264817953109741,1788540663.6604848
387243,2.3174006938934326,1788540663.8263516
387244,2.311354398727417,1788540663.9936805
387245,2.317462682723999,1788540664.1585069
387246,2.2504937648773193,1788540664.3235092
387247,2.2405757904052734,1788540664.4906404
387248,2.2822086811065674,1788540664.6584756
387249,2.3013501167297363,1788540664.8242104
387250,2.2465033531188965,1788540664.9925332
387251,2.328037977218628,1788540665.157255
387252,2.3050878047943115,1788540665.3220012
387253,2.2439098358154297,1788540665.4854605
387254,2.245896816253662,1788540665.64964
387255,2.3214566707611084,1788540665.8154187
387256,2.304306983947754,1788540665.9815495
387257,2.242375135421753,1788540666.1482787
387258,2.2808806896209717,1788540666.3179033
387259,2.2996480464935303,1788540666.48185
387260,2.253716468811035,1788540666.6438515
387261,2.2189600467681885,1788540666.8082955
387262,2.323373317718506,1788540666.973568
387263,2.374838352203369,1788540667.1414616
387264,2.3017988204956055,1788540667.3097584
387265,2.3185248374938965,1788540667.475139
387266,2.238076686859131,1788540667.6396883
387267,2.347318172454834,1788540667.8035412
387268,2.315791130065918,1788540667.968075
387269,2.2769219875335693,1788540668.1339324
387270,2.2666330337524414,1788540668.300047
387271,2.286512613296509,1788540668.4661264
387272,2.345701217651367,1788540668.633477
387273,2.250181198120117,1788540668.797964
387274,2.2237229347229004,1788540668.9630587
387275,2.3256049156188965,1788540669.1265118
387276,2.285557270050049,1788540669.2904086
387277,2.2810840606689453,1788540669.455625
387278,2.2995073795318604,1788540669.624922
387279,2.235907554626465,1788540669.7917836
387280,2.424994707107544,1788540669.9577496
387281,2.2547054290771484,1788540670.1212487
387282,2.2742834091186523,1788540670.2848613
387283,2.288919687271118,1788540670.4503393
387284,2.2222938537597656,1788540670.6165853
387285,2.3786656856536865,1788540670.7848954
387286,2.2091448307037354,1788540670.950503
387287,2.313819169998169,1788540671.1174545
387288,2.303298234939575,1788540671.280958
387289,2.30578875541687,1788540671.4472926
387290,2.2930476665496826,1788540671.6129682
387291,2.293060779571533,1788540671.7799802
387292,2.217853307723999,1788540671.9466283
387293,2.298973321914673,1788540672.1140552
387294,2.245042085647583,1788540672.2792325
387295,2.3275222778320312,1788540672.4470608
387296,2.236377716064453,1788540672.614278
387297,2.22737455368042,1788540672.781389
387298,2.2331960201263428,1788540672.9479678
387299,2.3322267532348633,1788540673.1132832
387300,2.242337226867676,1788540673.2800488
387301,2.2660741806030273,1788540673.4461505
387302,2.2284228801727295,1788540673.6151323
387303,2.2435624599456787,1788540673.782791
387304,2.3088736534118652,1788540673.9484046
387305,2.2182576656341553,1788540674.1165254
387306,2.3346898555755615,1788540674.2837856
387307,2.2936229705810547,1788540674.4516747
387308,2.2282919883728027,1788540674.616924
387309,2.3066813945770264,1788540674.7816622
387310,2.359480142593384,1788540674.9480453
387311,2.3015871047973633,1788540675.115027
387312,2.2708590030670166,1788540675.2810862
387313,2.315347194671631,1788540675.4474247
387314,2.2858033180236816,1788540675.6138854
387315,2.2719788551330566,1788540675.7802725
387316,2.2772912979125977,1788540675.9493697
387317,2.2151999473571777,1788540676.116178
387318,2.221663475036621,1788540676.282152
387319,2.309429168701172,1788540676.4458416
387320,2.3267557621002197,1788540676.6134717
387321,2.245002508163452,1788540676.7812874
387322,2.338616132736206,1788540676.942032
387323,2.2906105518341064,1788540677.1106193
387324,2.2441208362579346,1788540677.2769587
387325,2.3277533054351807,1788540677.4424434
387326,2.1852962970733643,1788540677.6104178
387327,2.35257887840271,1788540677.7777874
387328,2.2588000297546387,1788540677.945665
387329,2.339653968811035,1788540678.1121674
387330,2.350386381149292,1788540678.2792354
387331,2.287957191467285,1788540678.446422
387332,2.306633472442627,1788540678.6148472
387333,2.256300687789917,1788540678.775485
387334,2.264857053756714,1788540678.945642
387335,2.2413604259490967,1788540679.1119778
387336,2.285681962966919,1788540679.2795877
387337,2.2997734546661377,1788540679.4468591
387338,2.3429834842681885,1788540679.6141205
387339,2.2656917572021484,1788540679.779993
387340,2.2471275329589844,1788540679.946414
387341,2.3136985301971436,1788540680.1135783
387342,2.3527140617370605,1788540680.2832372
387343,2.1983699798583984,1788540680.4507005
387344,2.2608084678649902,1788540680.6199417
387345,2.3061330318450928,1788540680.790325
387346,2.2496697902679443,1788540680.9562862
387347,2.282099962234497,1788540681.121489
387348,2.250157594680786,1788540681.2882538
387349,2.334991455078125,1788540681.4568915
387350,2.3126378059387207,1788540681.6233811
387351,2.2719571590423584,1788540681.790471
387352,2.3087680339813232,1788540681.958636
387353,2.2245349884033203,1788540682.12701
387354,2.153151512145996,1788540682.295131
387355,2.2664217948913574,1788540682.4617825
387356,2.284543752670288,1788540682.6300826
387357,2.2785847187042236,1788540682.7990086
387358,2.211970329284668,1788540682.9664302
387359,2.2172691822052,1788540683.1330998
387360,2.2597897052764893,1788540683.2983527
387361,2.2756237983703613,1788540683.4667537
387362,2.291978597640991,1788540683.6346183
387363,2.2647721767425537,1788540683.7999306
387364,2.219184637069702,1788540683.964328
387365,2.198256731033325,1788540684.1293817
387366,2.327641248703003,1788540684.2990808
387367,2.3084895610809326,1788540684.4670765
387368,2.285069227218628,1788540684.6339376
387369,2.3470537662506104,1788540684.8023658
387370,2.3298909664154053,1788540684.9710374
387371,2.3223345279693604,1788540685.1393175
387372,2.307225227355957,1788540685.3058867
387373,2.2784008979797363,1788540685.4742763
387374,2.339956760406494,1788540685.6448784
387375,2.2583813667297363,1788540685.8127677
387376,2.3736894130706787,1788540685.980905
387377,2.265059232711792,1788540686.1494467
387378,2.269460439682007,1788540686.3179364
387379,2.2893476486206055,1788540686.4844449
387380,2.1623971462249756,1788540686.6512203
387381,2.287055730819702,1788540686.8202906
387382,2.235029697418213,1788540686.9891145
387383,2.3010637760162354,1788540687.15575
387384,2.298460006713867,1788540687.324866
387385,2.212183713912964,1788540687.4934747
387386,2.290193796157837,1788540687.6634548
387387,2.2164785861968994,1788540687.8369083
387388,2.2586381435394287,1788540688.0036993
387389,2.2527968883514404,1788540688.1732538
387390,2.266782760620117,1788540688.3432212
387391,2.3407750129699707,1788540688.5117207
387392,2.3205554485321045,1788540688.6790671
387393,2.3230583667755127,1788540688.8490703
387394,2.3016066551208496,1788540689.0175955
387395,2.2958717346191406,1788540689.1833644
387396,2.244142532348633,1788540689.3516726
387397,2.3902790546417236,1788540689.5221298
387398,2.219686508178711,1788540689.6889477
387399,2.261401414871216,1788540689.8558867
387400,2.2698559761047363,1788540690.0246062
387401,2.3394463062286377,1788540691.6256876
387402,2.224301815032959,1788540691.7943482
387403,2.231682538986206,1788540691.9617622
387404,2.206435203552246,1788540692.1295109
387405,2.3636369705200195,1788540692.2987137
387406,2.339587450027466,1788540692.4704
387407,2.298870325088501,1788540692.64304
387408,2.281156539916992,1788540692.812817
387409,2.259505271911621,1788540692.9830909
387410,2.30948543548584,1788540693.1518605
387411,2.3060264587402344,1788540693.320622
387412,2.3022258281707764,1788540693.4892666
387413,2.3045406341552734,1788540693.659422
387414,2.297839641571045,1788540693.8290386
387415,2.2467315196990967,1788540693.9970374
387416,2.234755277633667,1788540694.1666567
387417,2.303975820541382,1788540694.335327
387418,2.258193254470825,1788540694.5020137
387419,2.322728395462036,1788540694.6725433
387420,2.2654078006744385,1788540694.84111
387421,2.295217514038086,1788540695.007673
387422,2.307072639465332,1788540695.1791425
387423,2.266996145248413,1788540695.351048
387424,2.3651821613311768,1788540695.520221
387425,2.3140738010406494,1788540695.6910906
387426,2.2820727825164795,1788540695.8607833
387427,2.327798366546631,1788540696.0280719
387428,2.27109694480896,1788540696.1995864
387429,2.2600347995758057,1788540696.3693626
387430,2.2151520252227783,1788540696.5379786
387431,2.2165653705596924,1788540696.7075834
387432,2.290750026702881,1788540696.8772292
387433,2.3074605464935303,1788540697.0471773
387434,2.3019282817840576,1788540697.217247
387435,2.3063409328460693,1788540697.3845425
387436,2.251094102859497,1788540697.5525784
387437,2.3386387825012207,1788540697.7235713
387438,2.3063814640045166,1788540697.8921235
387439,2.246969699859619,1788540698.0615048
387440,2.206005811691284,1788540698.232217
387441,2.312290668487549,1788540698.4005246
387442,2.3323323726654053,1788540698.5693262
387443,2.237732172012329,1788540698.739661
387444,2.2868144512176514,1788540698.9096131
387445,2.2837166786193848,1788540699.0807807
387446,2.2979352474212646,1788540699.250364
387447,2.2661032676696777,1788540699.419387
387448,2.3064448833465576,1788540699.5899558
387449,2.2943952083587646,1788540699.7602339
387450,2.2905514240264893,1788540699.9282885
387451,2.2726030349731445,1788540700.0986664
387452,2.327012300491333,1788540700.2706616
387453,2.279583692550659,1788540700.4408898
387454,2.2394485473632812,1788540700.6115096
387455,2.3026206493377686,1788540700.7804484
387456,2.315495014190674,1788540700.9502552
387457,2.296586513519287,1788540701.1091418
387458,2.312260627746582,1788540701.2822669
387459,2.2902090549468994,1788540701.4522262
387460,2.3107590675354004,1788540701.6217396
387461,2.2603650093078613,1788540701.7924457
387462,2.2875232696533203,1788540701.9621637
387463,2.3178305625915527,1788540702.1332426
387464,2.2905800342559814,1788540702.3032045
387465,2.2577173709869385,1788540702.4748888
387466,2.2667975425720215,1788540702.652282
387467,2.2912120819091797,1788540702.82525
387468,2.2636232376098633,1788540702.9953685
387469,2.2711753845214844,1788540703.1684988
387470,2.274721384048462,1788540703.3392966
387471,2.2835400104522705,1788540703.5109577
387472,2.3579399585723877,1788540703.6820502
387473,2.331103563308716,1788540703.8515332
387474,2.295318126678467,1788540704.023175
387475,2.3371479511260986,1788540704.193015
387476,2.313093662261963,1788540704.3619103
387477,2.3371386528015137,1788540704.533002
387478,2.3230819702148438,1788540704.7028072
387479,2.189146041870117,1788540704.872189
387480,2.3539493083953857,1788540705.0435357
387481,2.2736310958862305,1788540705.2137809
387482,2.3027560710906982,1788540705.3863385
387483,2.2887375354766846,1788540705.557437
387484,2.269937515258789,1788540705.7302585
387485,2.262704849243164,1788540705.9002838
387486,2.3500864505767822,1788540706.072898
387487,2.298877716064453,1788540706.2442274
387488,2.338233709335327,1788540706.4173634
387489,2.2812795639038086,1788540706.5879483
387490,2.3104162216186523,1788540706.7568839
387491,2.3432695865631104,1788540706.9283164
387492,2.247079372406006,1788540707.0988774
387493,2.292149305343628,1788540707.2684455
387494,2.22805118560791,1788540707.4389524
387495,2.337705612182617,1788540707.609447
387496,2.3159351348876953,1788540707.780203
387497,2.335371971130371,1788540707.9502025
387498,2.235492706298828,1788540708.1210182
387499,2.295349359512329,1788540708.29323
387500,2.23931884765625,1788540708.4629648
387501,2.2113993167877197,1788540708.6352603
387502,2.307155132293701,1788540708.8058589
387503,2.3010356426239014,1788540708.9769201
387504,2.2859981060028076,1788540709.147022
387505,2.3153698444366455,1788540709.3164303
387506,2.2828280925750732,1788540709.488272
387507,2.2925844192504883,1788540709.6581833
387508,2.2722573280334473,1788540709.828457
387509,2.3584470748901367,1788540709.9992676
387510,2.3002851009368896,1788540710.1682737
387511,2.255626678466797,1788540710.3409836
387512,2.265497922897339,1788540710.5118241
387513,2.2585511207580566,1788540710.6825008
387514,2.307643413543701,1788540710.8531902
387515,2.2825064659118652,1788540711.023357
387516,2.2397959232330322,1788540711.1954536
387517,2.274848222732544,1788540711.3648117
387518,2.3437135219573975,1788540711.5359223
387519,2.329982042312622,1788540711.706133
387520,2.2265853881835938,1788540711.8756833
387521,2.2814748287200928,1788540712.0477886
387522,2.313961982727051,1788540712.2170577
387523,2.3210177421569824,1788540712.388706
387524,2.212975263595581,1788540712.5617862
387525,2.282743215560913,1788540712.7332234
387526,2.2497987747192383,1788540712.9054751
387527,2.2582764625549316,1788540713.076388
387528,2.3199896812438965,1788540713.2475834
387529,2.2703263759613037,1788540713.4199274
387530,2.238255262374878,1788540713.591596
387531,2.2483298778533936,1788540713.7625413
387532,2.2300753593444824,1788540713.9335053
387533,2.298006534576416,1788540714.1059268
387534,2.2856252193450928,1788540714.278936
387535,2.2834911346435547,1788540714.4513052
387536,2.372422218322754,1788540714.6240985
387537,2.2975337505340576,1788540714.7967951
387538,2.3423635959625244,1788540714.969479
387539,2.292619466781616,1788540715.1422198
387540,2.267641067504883,1788540715.313177
387541,2.294116258621216,1788540715.4866478
387542,2.3090035915374756,1788540715.6586337
387543,2.2445056438446045,1788540715.83104
387544,2.2592384815216064,1788540716.00117
387545,2.25252628326416,1788540716.171875
387546,2.31318998336792,1788540716.342713
387547,2.2580068111419678,1788540716.5156484
387548,2.2918519973754883,1788540716.6863568
387549,2.2653439044952393,1788540716.8578227
387550,2.2488601207733154,1788540717.0301406
387551,2.2974467277526855,1788540717.2019506
387552,2.2416622638702393,1788540717.373262
387553,2.217351198196411,1788540717.5454223
387554,2.21911358833313,1788540717.7169213
387555,2.2881524562835693,1788540717.886133
387556,2.2844698429107666,1788540718.0574884
387557,2.350151538848877,1788540718.2295363
387558,2.2727787494659424,1788540718.4036338
387559,2.2932562828063965,1788540718.5753567
387560,2.34348726272583,1788540718.7493527
387561,2.223506450653076,1788540718.921481
387562,2.2575416564941406,1788540719.0931804
387563,2.238133668899536,1788540719.26442
387564,2.295760154724121,1788540719.4369674
387565,2.3035786151885986,1788540719.610793
387566,2.298736810684204,1788540719.7831435
387567,2.3124310970306396,1788540719.953946
387568,2.2797060012817383,1788540720.1247237
387569,2.2981808185577393,1788540720.2976115
387570,2.24996280670166,1788540720.4697075
387571,2.27532696723938,1788540720.6441758
387572,2.2616899013519287,1788540720.8167024
387573,2.2716424465179443,1788540720.9883635
387574,2.277506113052368,1788540721.1595247
387575,2.3201465606689453,1788540721.3314712
387576,2.313567876815796,1788540721.5028696
387577,2.2200136184692383,1788540721.6769502
387578,2.284717082977295,1788540721.8488374
387579,2.2317192554473877,1788540722.0212839
387580,2.25594162940979,1788540722.194361
387581,2.2324161529541016,1788540722.3682864
387582,2.2906572818756104,1788540722.5420914
387583,2.3500308990478516,1788540722.716374
387584,2.2537450790405273,1788540722.8883464
387585,2.320636034011841,1788540723.0612135
387586,2.273545503616333,1788540723.2327855
387587,2.2198286056518555,1788540723.4054468
387588,2.266443967819214,1788540723.5776508
387589,2.220912218093872,1788540723.7514064
387590,2.2908382415771484,1788540723.9233394
387591,2.2652385234832764,1788540724.0957906
387592,2.2906229496002197,1788540724.2676537
387593,2.342515468597412,1788540724.439963
387594,2.318051338195801,1788540724.6128652
387595,2.2938385009765625,1788540724.7866478
387596,2.3222620487213135,1788540724.9583244
387597,2.2413430213928223,1788540725.1317363
387598,2.22654128074646,1788540725.303006
387599,2.2596206665039062,1788540725.4740572
